"CITY","SECTOR_ID","SECTOR_NAME","ENODEBID","ENODEB_NAME","EARFCN","PCI","PSS","SSS","TAC","VENDOR","LONGITUDE","LATITUDE","STYLE","AZIMUTH","HEIGHT","ELECTTILT","MECHTILT","TOTLETILT"
"sanxia","124711-2","B马石门村-HLHF-3","124711","B马石门村-HLHF","38400","173","2","58","14467","华为","112.849","33.7864","宏站","280","30","6","3","9"
"sanxia","124712-0","B马二十里铺-HLHF-1","124712","B马二十里铺-HLHF","38400","79","1","26","14419","华为","112.85","33.7339","宏站","50","33","3","0","3"
"sanxia","124712-1","B马二十里铺-HLHF-2","124712","B马二十里铺-HLHF","38400","78","0","26","14419","华为","112.85","33.7339","宏站","180","33","3","1","4"
"sanxia","124712-2","B马二十里铺-HLHF-3","124712","B马二十里铺-HLHF","38400","80","2","27","14419","华为","112.85","33.7339","宏站","280","33","3","0","3"
"sanxia","124713-0","B马河口村-HLHF-1","124713","B马河口村-HLHF","38400","204","0","68","14467","华为","112.92","33.7432","宏站","0","38","3","2","5"
"sanxia","124713-1","B马河口村-HLHF-2","124713","B马河口村-HLHF","38400","205","1","68","14467","华为","112.92","33.7432","宏站","120","38","3","2","5"
"sanxia","124713-2","B马河口村-HLHF-3","124713","B马河口村-HLHF","38400","206","2","69","14467","华为","112.92","33.7432","宏站","240","38","3","2","5"
"sanxia","124716-0","C氏官道口南-HLHF-1","124716","C氏官道口南-HLHF","38400","61","1","20","18832","华为","112.053","33.2988","宏站","0","23","3","0","3"
"sanxia","124716-1","C氏官道口南-HLHF-2","124716","C氏官道口南-HLHF","38400","60","0","20","18832","华为","112.053","33.2988","宏站","120","23","3","0","3"
"sanxia","124716-2","C氏官道口南-HLHF-3","124716","C氏官道口南-HLHF","38400","62","2","21","18832","华为","112.053","33.2988","宏站","240","23","3","0","3"
"sanxia","124717-0","C氏黄村桥-HLHF-1","124717","C氏黄村桥-HLHF","38400","344","2","115","14579","华为","111.987","32.9904","宏站","30","33","6","3","9"
"sanxia","124717-1","C氏黄村桥-HLHF-2","124717","C氏黄村桥-HLHF","38400","343","1","114","14579","华为","111.987","32.9904","宏站","110","15","3","1","4"
"sanxia","124717-2","C氏黄村桥-HLHF-3","124717","C氏黄村桥-HLHF","38400","342","0","114","14579","华为","111.987","32.9904","宏站","290","15","3","1","4"
"sanxia","124718-0","C氏清河-HLHF-1","124718","C氏清河-HLHF","38400","409","1","136","14579","华为","111.889","33.0004","宏站","0","15","3","0","3"
"sanxia","124718-1","C氏清河-HLHF-2","124718","C氏清河-HLHF","38400","410","2","137","14579","华为","111.889","33.0004","宏站","120","15","3","0","3"
"sanxia","124718-2","C氏清河-HLHF-3","124718","C氏清河-HLHF","38400","408","0","136","14579","华为","111.889","33.0004","宏站","240","15","3","0","3"
"sanxia","124719-0","C氏前虎峪-HLHF-1","124719","C氏前虎峪-HLHF","38400","304","1","101","14579","华为","111.952","32.9457","宏站","330","15","3","1","4"
"sanxia","124719-1","C氏前虎峪-HLHF-2","124719","C氏前虎峪-HLHF","38400","305","2","102","14579","华为","111.952","32.9457","宏站","150","15","3","1","4"
"sanxia","124720-0","C氏夜常坪-HLHF-1","124720","C氏夜常坪-HLHF","38400","14","2","5","18832","华为","111.744","33.056","宏站","0","33","6","3","9"
"sanxia","124720-1","C氏夜常坪-HLHF-2","124720","C氏夜常坪-HLHF","38400","13","1","4","18832","华为","111.744","33.056","宏站","120","33","6","3","9"
"sanxia","124720-2","C氏夜常坪-HLHF-3","124720","C氏夜常坪-HLHF","38400","12","0","4","18832","华为","111.744","33.056","宏站","240","11","3","2","5"
"sanxia","124721-0","C氏蚂蚁岭-HLHF-1","124721","C氏蚂蚁岭-HLHF","38400","121","1","40","14579","华为","111.946","32.9662","宏站","40","7","6","1","7"
"sanxia","124721-1","C氏蚂蚁岭-HLHF-2","124721","C氏蚂蚁岭-HLHF","38400","120","0","40","14579","华为","111.946","32.9662","宏站","120","7","6","1","7"
"sanxia","124721-2","C氏蚂蚁岭-HLHF-3","124721","C氏蚂蚁岭-HLHF","38400","122","2","41","14579","华为","111.946","32.9662","宏站","260","7","6","1","7"
"sanxia","124722-0","D县张村辛庄-HLHF-1","124722","D县张村辛庄-HLHF","38400","133","1","44","14547","华为","112.192","33.6284","宏站","40","30","6","3","9"
"sanxia","124722-1","D县张村辛庄-HLHF-2","124722","D县张村辛庄-HLHF","38400","132","0","44","14547","华为","112.192","33.6284","宏站","210","30","6","3","9"
"sanxia","124722-2","D县张村辛庄-HLHF-3","124722","D县张村辛庄-HLHF","38400","134","2","45","14547","华为","112.192","33.6284","宏站","300","30","6","3","9"
"sanxia","124723-0","D县上陈东-HLHF-1","124723","D县上陈东-HLHF","38400","377","2","126","14387","华为","112.18","33.7452","宏站","30","30","6","4","10"
"sanxia","124723-1","D县上陈东-HLHF-2","124723","D县上陈东-HLHF","38400","376","1","125","14387","华为","112.18","33.7452","宏站","150","30","6","3","9"
"sanxia","124723-2","D县上陈东-HLHF-3","124723","D县上陈东-HLHF","38400","375","0","125","14387","华为","112.18","33.7452","宏站","240","38","3","2","5"
"sanxia","124724-0","D县坟上-HLHF-1","124724","D县坟上-HLHF","38400","146","2","49","14339","华为","112.526","33.8005","宏站","0","42","6","1","7"
"sanxia","124724-1","D县坟上-HLHF-2","124724","D县坟上-HLHF","38400","144","0","48","14339","华为","112.526","33.8005","宏站","110","42","3","0","3"
"sanxia","124724-2","D县坟上-HLHF-3","124724","D县坟上-HLHF","38400","145","1","48","14339","华为","112.526","33.8005","宏站","250","42","6","1","7"
"sanxia","124725-0","D县王营-HLHF-1","124725","D县王营-HLHF","38400","286","1","95","14547","华为","112.59","33.6076","宏站","30","38","6","1","7"
"sanxia","124725-1","D县王营-HLHF-2","124725","D县王营-HLHF","38400","287","2","96","14547","华为","112.59","33.6076","宏站","150","38","6","4","10"
"sanxia","124725-2","D县王营-HLHF-3","124725","D县王营-HLHF","38400","285","0","95","14547","华为","112.59","33.6076","宏站","270","38","3","1","4"
"sanxia","124726-0","D县元上-HLHF-1","124726","D县元上-HLHF","38400","204","0","68","14547","华为","112.697","33.5966","宏站","0","38","3","1","4"
"sanxia","124726-1","D县元上-HLHF-2","124726","D县元上-HLHF","38400","205","1","68","14547","华为","112.697","33.5966","宏站","120","30","6","3","9"
"sanxia","124726-2","D县元上-HLHF-3","124726","D县元上-HLHF","38400","206","2","69","14547","华为","112.697","33.5966","宏站","240","30","6","3","9"
